panel,mechanism,point,x1,x2,signal
a,Null,147,0.3380617018914066,-1.4367622330384782,0.0
a,Null,148,0.4225771273642583,-1.4367622330384782,0.0
a,Null,149,0.50709255283711,-1.4367622330384782,0.0
a,Null,150,0.5916079783099616,-1.4367622330384782,0.0
a,Null,151,0.6761234037828132,-1.4367622330384782,0.0
a,Null,152,0.760638829255665,-1.4367622330384782,0.0
a,Null,153,0.8451542547285166,-1.4367622330384782,0.0
a,Null,154,0.9296696802013682,-1.4367622330384782,0.0
a,Null,155,1.01418510567422,-1.4367622330384782,0.0
a,Null,156,1.0987005311470714,-1.4367622330384782,0.0
a,Null,157,1.1832159566199232,-1.4367622330384782,0.0
a,Null,158,1.267731382092775,-1.4367622330384782,0.0
a,Null,159,1.3522468075656264,-1.4367622330384782,0.0
a,Null,160,1.4367622330384782,-1.4367622330384782,0.0
a,Null,161,1.52127765851133,-1.4367622330384782,0.0
a,Null,162,1.6057930839841814,-1.4367622330384782,0.0
a,Null,163,1.6903085094570331,-1.4367622330384782,0.0
a,Null,164,-1.6903085094570331,-1.3522468075656264,0.0
a,Null,165,-1.6057930839841814,-1.3522468075656264,0.0
a,Null,166,-1.52127765851133,-1.3522468075656264,0.0
a,Null,167,-1.4367622330384782,-1.3522468075656264,0.0
a,Null,168,-1.3522468075656264,-1.3522468075656264,0.0
a,Null,169,-1.267731382092775,-1.3522468075656264,0.0
a,Null,170,-1.1832159566199232,-1.3522468075656264,0.0
a,Null,171,-1.0987005311470714,-1.3522468075656264,0.0
a,Null,172,-1.01418510567422,-1.3522468075656264,0.0
a,Null,173,-0.9296696802013682,-1.3522468075656264,0.0
a,Null,174,-0.8451542547285166,-1.3522468075656264,0.0
a,Null,175,-0.760638829255665,-1.3522468075656264,0.0
a,Null,176,-0.6761234037828132,-1.3522468075656264,0.0
a,Null,177,-0.5916079783099616,-1.3522468075656264,0.0
a,Null,178,-0.50709255283711,-1.3522468075656264,0.0
a,Null,179,-0.4225771273642583,-1.3522468075656264,0.0
a,Null,180,-0.3380617018914066,-1.3522468075656264,0.0
a,Null,181,-0.253546276418555,-1.3522468075656264,0.0
a,Null,182,-0.1690308509457033,-1.3522468075656264,0.0
a,Null,183,-0.08451542547285165,-1.3522468075656264,0.0
a,Null,184,0.0,-1.3522468075656264,0.0
a,Null,185,0.08451542547285165,-1.3522468075656264,0.0
a,Null,186,0.1690308509457033,-1.3522468075656264,0.0
a,Null,187,0.253546276418555,-1.3522468075656264,0.0
a,Null,188,0.3380617018914066,-1.3522468075656264,0.0
a,Null,189,0.4225771273642583,-1.3522468075656264,0.0
a,Null,190,0.50709255283711,-1.3522468075656264,0.0
a,Null,191,0.5916079783099616,-1.3522468075656264,0.0
a,Null,192,0.6761234037828132,-1.3522468075656264,0.0
a,Null,193,0.760638829255665,-1.3522468075656264,0.0
a,Null,194,0.8451542547285166,-1.3522468075656264,0.0
a,Null,195,0.9296696802013682,-1.3522468075656264,0.0
a,Null,196,1.01418510567422,-1.3522468075656264,0.0
a,Null,197,1.0987005311470714,-1.3522468075656264,0.0
a,Null,198,1.1832159566199232,-1.3522468075656264,0.0
a,Null,199,1.267731382092775,-1.3522468075656264,0.0
a,Null,200,1.3522468075656264,-1.3522468075656264,0.0
a,Null,201,1.4367622330384782,-1.3522468075656264,0.0
a,Null,202,1.52127765851133,-1.3522468075656264,0.0
a,Null,203,1.6057930839841814,-1.3522468075656264,0.0
a,Null,204,1.6903085094570331,-1.3522468075656264,0.0
a,Null,205,-1.6903085094570331,-1.267731382092775,0.0
a,Null,206,-1.6057930839841814,-1.267731382092775,0.0
a,Null,207,-1.52127765851133,-1.267731382092775,0.0
