panel,series,point,x,y
ordinal,Middle,5,-2.25,0.2727096071526286
ordinal,Middle,6,-2.2,0.27814795330221265
ordinal,Middle,7,-2.15,0.2835918732622512
ordinal,Middle,8,-2.1,0.28903597347162857
ordinal,Middle,9,-2.05,0.2944746901128048
ordinal,Middle,10,-2.0,0.2999022973633847
ordinal,Middle,11,-1.95,0.30531291649647063
ordinal,Middle,12,-1.9,0.3107005258173261
ordinal,Middle,13,-1.85,0.31605897141856876
ordinal,Middle,14,-1.7999999999999998,0.3213819787307829
ordinal,Middle,15,-1.75,0.32666316484015534
ordinal,Middle,16,-1.7,0.3318960515395396
ordinal,Middle,17,-1.65,0.3370740790742912
ordinal,Middle,18,-1.6,0.3421906205393458
ordinal,Middle,19,-1.5499999999999998,0.34723899687938764
ordinal,Middle,20,-1.5,0.3522124924395995
ordinal,Middle,21,-1.45,0.35710437101048176
ordinal,Middle,22,-1.4,0.3619078923065625
ordinal,Middle,23,-1.3499999999999999,0.3666163288155816
ordinal,Middle,24,-1.2999999999999998,0.3712229829519007
ordinal,Middle,25,-1.25,0.37572120444552726
ordinal,Middle,26,-1.2,0.38010440789623096
ordinal,Middle,27,-1.15,0.38436609042081177
ordinal,Middle,28,-1.0999999999999999,0.38849984932063525
ordinal,Middle,29,-1.0499999999999998,0.3924993996960938
ordinal,Middle,30,-1.0,0.39635859193465983
ordinal,Middle,31,-0.95,0.40007142899967546
ordinal,Middle,32,-0.8999999999999999,0.40363208344793605
ordinal,Middle,33,-0.8499999999999999,0.40703491410545634
ordinal,Middle,34,-0.7999999999999998,0.41027448233253044
ordinal,Middle,35,-0.75,0.41334556781128573
ordinal,Middle,36,-0.7,0.41624318379133846
ordinal,Middle,37,-0.6499999999999999,0.41896259173186745
ordinal,Middle,38,-0.5999999999999999,0.4214993152813882
ordinal,Middle,39,-0.5499999999999998,0.4238491535397001
ordinal,Middle,40,-0.5,0.4260081935498562
ordinal,Middle,41,-0.44999999999999973,0.42797282197154496
ordinal,Middle,42,-0.3999999999999999,0.42973973589093256
ordinal,Middle,43,-0.3500000000000001,0.4313059527257814
ordinal,Middle,44,-0.2999999999999998,0.43266881918848793
ordinal,Middle,45,-0.25,0.43382601927357733
ordinal,Middle,46,-0.19999999999999973,0.43477558124010574
ordinal,Middle,47,-0.1499999999999999,0.43551588356336646
ordinal,Middle,48,-0.09999999999999964,0.43604565983423854
ordinal,Middle,49,-0.04999999999999982,0.43636400258847
ordinal,Middle,50,0.0,0.436470366052127
ordinal,Middle,51,0.050000000000000266,0.436364567793382
ordinal,Middle,52,0.10000000000000009,0.43604678927474355
ordinal,Middle,53,0.15000000000000036,0.43551757530376073
ordinal,Middle,54,0.20000000000000018,0.43477783238415835
ordinal,Middle,55,0.25,0.4338288259732902
ordinal,Middle,56,0.30000000000000027,0.4326721766557278
ordinal,Middle,57,0.3500000000000001,0.4313098552467403
ordinal,Middle,58,0.40000000000000036,0.42974417684336563
ordinal,Middle,59,0.4500000000000002,0.4279777938447219
ordinal,Middle,60,0.5,0.42601368796715366
ordinal,Middle,61,0.5500000000000003,0.42385516128375034
ordinal,Middle,62,0.6000000000000001,0.4215058263216901
ordinal,Middle,63,0.6500000000000004,0.418969595254754
ordinal,Middle,64,0.7000000000000002,0.4162506682321886
ordinal,Middle,65,0.75,0.41335352088885313
ordinal,Middle,66,0.8000000000000003,0.41028289108525623
ordinal,Middle,67,0.8500000000000001,0.40704376492962335
ordinal,Middle,68,0.9000000000000004,0.4036413621375087
ordinal,Middle,69,0.9500000000000002,0.4000811207876692
ordinal,Middle,70,1.0,0.3963686815358691
ordinal,Middle,71,1.0500000000000003,0.39250987135100457
ordinal,Middle,72,1.1,0.3885106868403411
ordinal,Middle,73,1.1500000000000004,0.38437727723274806
ordinal,Middle,74,1.2000000000000002,0.38011592709053654
ordinal,Middle,75,1.25,0.37573303882183906
ordinal,Middle,76,1.3000000000000003,0.3712351150663898
